TOP.6564bbe4.000db760	START
TOP.6564c0e4.000680c6	user_options->status	0
TOP.6564c0e4.000680c6	user_options->status_json	0
TOP.6564c0e4.000680c6	user_options->status_timer	10
TOP.6564c0e4.000680c6	user_options->stdout_flag	0
TOP.6564c0e4.000680c6	user_options->usage	0
TOP.6564c0e4.000680c6	user_options->username	0
TOP.6564c0e4.000680c6	user_options->veracrypt_pim_start	485
TOP.6564c0e4.000680c6	user_options->veracrypt_pim_stop	485
TOP.6564c0e4.000680c6	user_options->version	0
TOP.6564c0e4.000680c6	user_options->workload_profile	2
TOP.6564c0e4.000680c6	user_options->brain_client	0
TOP.6564c0e4.000680c6	user_options->brain_client_features	2
TOP.6564c0e4.000680c6	user_options->brain_server	0
TOP.6564c0e4.000680c6	user_options->brain_server_timer	300
TOP.6564c0e4.000680c6	user_options->brain_port	6863
TOP.6564c0e4.000680c6	user_options->brain_session	0
TOP.6564c0e4.000680c6	hashes->hashfile	hash2.txt
TOP.6564c0e4.000680c6	hashes->hashlist_mode	5
TOP.6564c0e4.000680c6	hashes->hashlist_format	0
TOP.6564c0e4.000680c6	hashes->hashes_cnt	0
TOP.6564c0e4.000680c6	hashes->digests_cnt	1
TOP.6564c0e4.000680c6	hashes->digests_done_pot	0
TOP.6564c0e4.000680c6	hashes->digests_done_zero	0
TOP.6564c0e4.000680c6	hashes->digests_done	0
TOP.6564c0e4.000680c6	hashes->salts_cnt	1
TOP.6564c0e4.000680c6	hashes->salts_done	0
TOP.6564c0e4.000680c6	SUB.6564c0e7.0005f685	START
TOP.6564c0e4.000680c6	SUB.6564c0e7.0005f685	mask_ctx->mask	?1?1?1?1?1?1?1
